time,players
2024-11-07T01:00:02.154Z,13
2024-11-07T01:30:01.971Z,15
2024-11-07T02:00:01.998Z,15
2024-11-07T02:30:02.510Z,12
2024-11-07T03:00:02.468Z,12
2024-11-07T03:30:01.833Z,8
2024-11-07T04:00:02.474Z,4
2024-11-07T04:30:02.647Z,0
2024-11-07T05:00:02.274Z,0
2024-11-07T05:30:02.823Z,-1
2024-11-07T06:00:02.493Z,0
2024-11-07T06:30:02.280Z,0
2024-11-07T07:00:01.927Z,0
2024-11-07T07:30:02.281Z,0
2024-11-07T08:00:01.841Z,0
2024-11-07T08:30:02.344Z,0
2024-11-07T09:00:02.183Z,0
2024-11-07T09:30:01.781Z,0
2024-11-07T10:00:02.688Z,0
2024-11-07T10:30:02.089Z,0
2024-11-07T11:00:01.880Z,0
2024-11-07T11:30:03.072Z,1
2024-11-07T12:00:02.559Z,0
2024-11-07T12:30:02.274Z,4
2024-11-07T13:00:02.545Z,10
2024-11-07T13:30:02.668Z,8
2024-11-07T14:00:02.391Z,10
2024-11-07T14:30:02.425Z,14
2024-11-07T15:00:02.038Z,14
2024-11-07T15:30:01.880Z,12
2024-11-07T16:00:03.052Z,-1
2024-11-07T16:30:01.882Z,13
2024-11-07T17:00:02.326Z,13
2024-11-07T17:30:01.705Z,13
2024-11-07T18:00:03.328Z,-1
2024-11-07T18:30:03.682Z,-1
2024-11-07T19:00:02.440Z,-1
2024-11-07T19:30:03.804Z,-1
2024-11-07T20:00:02.285Z,4
2024-11-07T20:30:01.897Z,8
2024-11-07T21:00:01.860Z,6
2024-11-07T21:30:03.955Z,-1
2024-11-07T22:00:02.517Z,15
2024-11-07T22:30:02.525Z,12
2024-11-07T23:00:01.987Z,9
2024-11-07T23:30:02.580Z,11
2024-11-08T00:00:02.477Z,12
2024-11-08T00:30:02.254Z,14
2024-11-08T01:00:01.733Z,10
2024-11-08T01:30:03.829Z,-1
2024-11-08T02:00:01.942Z,5
2024-11-08T02:30:02.339Z,6
2024-11-08T03:00:02.244Z,-1
2024-11-08T03:30:02.209Z,10
2024-11-08T04:00:02.560Z,0
2024-11-08T04:30:01.984Z,0
2024-11-08T05:00:02.490Z,0
2024-11-08T05:30:02.314Z,0
2024-11-08T06:00:01.585Z,0
2024-11-08T06:30:02.161Z,0
2024-11-08T07:00:01.580Z,0
2024-11-08T07:30:02.468Z,0
2024-11-08T08:00:01.891Z,0
2024-11-08T08:30:02.486Z,0
2024-11-08T09:00:02.218Z,0
2024-11-08T09:30:02.414Z,0
2024-11-08T10:00:02.152Z,0
2024-11-08T10:30:01.676Z,0
2024-11-08T11:00:02.299Z,0
2024-11-08T11:30:02.109Z,1
2024-11-08T12:00:02.303Z,0
2024-11-08T12:30:01.939Z,1
2024-11-08T13:00:02.918Z,-1
2024-11-08T13:30:01.868Z,9
2024-11-08T14:00:02.816Z,3
2024-11-08T14:30:02.469Z,-1
2024-11-08T15:00:02.853Z,12
2024-11-08T15:30:02.061Z,15
2024-11-08T16:00:03.085Z,-1
2024-11-08T16:30:03.520Z,-1
2024-11-08T17:00:01.586Z,15
2024-11-08T17:30:02.156Z,13
2024-11-08T18:00:02.492Z,10
2024-11-08T18:30:03.368Z,-1
2024-11-08T19:00:02.444Z,14
2024-11-08T19:30:03.285Z,-1
2024-11-08T20:00:02.390Z,13
2024-11-08T20:30:02.031Z,13
2024-11-08T21:00:01.671Z,14
2024-11-08T21:30:02.109Z,4
2024-11-08T22:00:01.760Z,4
2024-11-08T22:30:02.284Z,5
2024-11-08T23:00:02.183Z,-1
2024-11-08T23:30:03.614Z,-1
2024-11-09T00:00:03.300Z,-1
2024-11-09T00:30:02.213Z,2
2024-11-09T01:00:01.643Z,12
2024-11-09T01:30:02.211Z,7
